participant_id;beeps_1;beeps_2;beeps_3;beeps_4;beeps_5;beeps_6;beeps_7;beeps_8
1;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
2;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
3;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
4;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
5;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
6;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
7;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
8;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
9;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
10;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
11;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
12;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
13;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
14;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
15;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
16;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
17;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
18;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
19;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
20;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
21;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
22;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
23;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
24;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
25;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
26;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
27;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
28;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
29;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
30;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
31;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
32;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
33;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
34;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
35;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
36;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
37;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
38;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
39;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
40;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
41;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
42;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
43;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
44;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
45;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
46;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
47;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
48;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
49;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
50;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
51;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
52;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
53;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
54;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
55;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
56;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
57;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
58;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
59;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
60;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
61;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
62;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
63;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
64;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
65;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
66;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
67;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
68;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
69;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
70;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
71;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
72;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
73;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
74;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
75;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
76;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE
77;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;TRUE
