SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
437,1,1,Nav       ,2024-07-01 14:05:58.793,4,8,4,8,4,437,163,Nav                                               ,5,0
438,0,0,Pilot     ,2024-07-01 14:05:58.810,0,8,4,8,4,438,163,Pilot                                             ,6,0
440,0,1,Nav       ,2024-07-01 14:14:37.620,6,7,6,2,11,440,164,Nav                                               ,5,1
441,0,0,Pilot     ,2024-07-01 14:14:37.633,0,7,6,2,11,441,164,Pilot                                             ,6,1
443,0,3,Nav       ,2024-07-01 14:21:49.987,9,14,9,0,23,443,165,Nav                                               ,5,2
444,0,0,Pilot     ,2024-07-01 14:21:50.000,0,14,9,0,23,444,165,Pilot                                             ,6,2
446,1,3,Nav       ,2024-07-01 14:32:33.563,8,13,8,0,21,446,166,Nav                                               ,5,3
447,0,0,Pilot     ,2024-07-01 14:32:33.583,0,13,8,0,21,447,166,Pilot                                             ,6,3
449,1,1,Nav       ,2024-07-01 14:49:15.857,11,16,11,0,27,449,167,Nav                                               ,5,4
450,0,0,Pilot     ,2024-07-01 14:49:15.873,0,16,11,0,27,450,167,Pilot                                             ,6,4
452,1,1,Nav       ,2024-07-01 14:56:05.553,10,14,10,0,24,452,168,Nav                                               ,5,5
453,0,0,Pilot     ,2024-07-01 14:56:05.570,0,14,10,0,24,453,168,Pilot                                             ,6,5
455,1,1,Nav       ,2024-07-01 15:02:36.920,11,14,11,4,21,455,169,Nav                                               ,5,6
456,0,0,Pilot     ,2024-07-01 15:02:36.933,0,14,11,4,21,456,169,Pilot                                             ,6,6
458,2,1,Nav       ,2024-07-01 15:09:11.523,9,13,9,22,0,458,170,Nav                                               ,5,7
459,0,0,Pilot     ,2024-07-01 15:09:11.537,0,13,9,22,0,459,170,Pilot                                             ,6,7
491,3,2,Nav       ,2024-07-02 14:10:00.877,5,10,5,0,15,491,185,Nav                                               ,7,0
492,0,0,Pilot     ,2024-07-02 14:10:00.890,0,10,5,0,15,492,185,Pilot                                             ,8,0
494,3,2,Nav       ,2024-07-02 14:18:07.530,6,12,6,4,14,494,186,Nav                                               ,7,1
495,0,0,Pilot     ,2024-07-02 14:18:07.543,0,12,6,4,14,495,186,Pilot                                             ,8,1
497,5,2,Nav       ,2024-07-02 14:25:30.307,6,17,6,4,19,497,187,Nav                                               ,7,2
498,0,0,Pilot     ,2024-07-02 14:25:30.320,0,17,6,4,19,498,187,Pilot                                             ,8,2
500,5,2,Nav       ,2024-07-02 14:32:12.767,5,15,5,2,18,500,188,Nav                                               ,7,3
501,0,0,Pilot     ,2024-07-02 14:32:12.780,0,15,5,2,18,501,188,Pilot                                             ,8,3
503,0,1,Nav       ,2024-07-02 14:44:25.317,15,18,15,2,31,503,189,Nav                                               ,7,4
504,0,0,Pilot     ,2024-07-02 14:44:25.330,0,18,15,2,31,504,189,Pilot                                             ,8,4
506,1,1,Nav       ,2024-07-02 14:50:57.450,13,16,13,0,29,506,190,Nav                                               ,7,5
507,0,0,Pilot     ,2024-07-02 14:50:57.467,0,16,13,0,29,507,190,Pilot                                             ,8,5
509,2,1,Nav       ,2024-07-02 14:57:31.657,14,17,14,2,29,509,191,Nav                                               ,7,6
510,0,0,Pilot     ,2024-07-02 14:57:31.670,0,17,14,2,29,510,191,Pilot                                             ,8,6
512,2,0,Nav       ,2024-07-02 15:04:13.757,13,16,13,2,27,512,192,Nav                                               ,7,7
