phase,f1,f2,f3,f4,f5,f6,c1,c2,c3
discussion_phase_0,0.999613680459785,1.0,0.9816717636386265,0.5688947304432027,0.9880600644153662,0.9461900764078182,0.9091659886291124,0.021779213706646063,0.9925311555558434
discussion_phase_1,0.9969198159740017,1.0,0.9857559078211049,0.5641491463765068,0.9975678469965429,0.968953759468659,0.9203743915914457,0.017363528369687256,0.9943750907243432
reschu_run_0,1.0,1.0,0.997325014073935,0.8277603677988365,0.9783097203978233,0.9729217489209984,0.9826102458247326,0.14166166260086321,0.9996941264777632
reschu_run_1,1.0,1.0,0.9994399853282706,0.856172138310992,0.9915412988597596,0.9427947585995236,0.9787058748673649,0.04569102161272997,0.9989314339931245
reschu_run_2,1.0,1.0,0.9990638659794784,0.9479885819874643,0.9988606449257773,0.9709746707536678,0.9652647236475921,0.06944750216863207,1.0
reschu_run_3,1.0,1.0,0.9988780180463135,0.6882715990986303,1.0,0.9629632432657432,0.9811859897943159,0.00933487093423445,0.998642931608294
reschu_run_4,1.0,1.0,0.9999626321356065,0.9730435794440797,0.992086999956483,0.9927142124651628,0.9916589250542543,0.052106885336471606,1.0
reschu_run_5,1.0,1.0,0.9987990328635511,0.9760962158540761,0.9946309704488164,0.9676908494444767,0.9906973001397932,0.0036464113211854905,0.999951343754503
reschu_run_6,1.0,1.0,1.0,1.0,0.9993174090174994,0.9890902404928503,0.9972644897363393,0.04618179470432909,0.9999349690564993
reschu_run_7,1.0,1.0,0.9999990643029713,0.9166565299488548,0.9939048695544772,0.788145092924072,0.8933394278399809,0.0984643340363537,0.9781846916223302
