zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
False,instructional_video_0,,,0.0101,0.0605,0.0369,0.0487,0.0408,0.056
False,reschu_run_0,False,12,0.0077,0.0695,0.0221,0.0322,0.3096,0.0413
False,reschu_run_1,True,13,0.0035,0.1063,0.0229,0.0234,0.2717,0.0389
False,reschu_run_2,False,11,0.0052,0.0869,0.0246,0.0298,0.3573,0.0425
False,reschu_run_3,True,18,0.0085,0.038,0.0293,0.0126,0.4518,0.021
False,discussion_phase_1,,,0.0023,0.1028,0.021,0.0138,0.1388,0.0269
False,reschu_run_4,False,20,0.0078,0.0885,0.0242,0.0248,0.2139,0.0436
False,reschu_run_5,True,21,0.0103,0.0924,0.0248,0.0394,0.2079,0.0465
False,reschu_run_6,False,22,0.0097,0.0835,0.024,0.0429,0.1827,0.0468
False,reschu_run_7,True,20,0.0073,0.0924,0.0243,0.0404,0.152,0.0462
