zoom,phase,beeps,score,f4,f5,c1,c2,c3
True,instructional_video_0,,,0.026,0.029,0.0017,0.051,0.0007
True,discussion_phase_0,,,0.0503,0.0304,0.0068,0.0312,0.014
True,discussion_phase_1,,,0.0519,0.0281,0.0127,0.0253,0.0165
True,reschu_run_0,True,12,0.0485,0.0286,0.0168,0.0394,0.0184
True,reschu_run_1,False,14,0.0383,0.0296,0.0298,0.0451,0.0191
True,reschu_run_2,True,12,0.0412,0.0282,0.0284,0.0468,0.0213
True,reschu_run_3,False,19,0.037,0.0332,0.0209,0.0349,0.0238
True,reschu_run_4,True,11,0.0548,0.0337,0.0132,0.0383,0.0141
True,reschu_run_5,False,16,0.0428,0.0286,0.0162,0.0369,0.01
True,reschu_run_6,True,16,0.0313,0.0302,0.0243,0.0426,0.0143
True,reschu_run_7,False,26,0.0314,0.0352,0.045,0.0513,0.0635
