frame,f1,f2,f3,f4,f5,f6
1,0.03,0.0,0.68,0.0,0.12,0.0
2,0.01,0.04,0.46,0.1,0.17,0.1
3,0.02,0.05,0.39,0.17,0.25,0.17
4,0.02,0.05,0.51,0.21,0.33,0.21
5,0.02,0.09,0.56,0.27,0.35,0.27
6,0.06,0.12,0.64,0.37,0.27,0.37
7,0.1,0.16,0.68,0.41,0.17,0.41
8,0.12,0.16,0.61,0.46,0.09,0.46
9,0.11,0.21,0.5,0.47,0.04,0.47
10,0.11,0.19,0.39,0.47,0.0,0.47
11,0.14,0.22,0.38,0.43,0.0,0.43
12,0.1,0.23,0.37,0.32,0.02,0.32
13,0.05,0.24,0.36,0.29,0.03,0.29
14,0.0,0.2,0.4,0.26,0.03,0.26
15,0.0,0.25,0.47,0.31,0.02,0.31
16,0.0,0.31,0.53,0.35,0.03,0.35
17,0.0,0.38,0.54,0.44,0.08,0.44
18,0.0,0.32,0.54,0.5,0.08,0.5
19,0.0,0.32,0.54,0.55,0.05,0.55
20,0.0,0.43,0.44,0.53,0.02,0.53
21,0.0,0.58,0.29,0.49,0.08,0.56
22,0.0,0.65,0.15,0.45,0.16,0.52
23,0.0,0.63,0.15,0.43,0.2,0.51
24,0.0,0.6,0.25,0.48,0.28,0.49
25,0.0,0.61,0.33,0.57,0.32,0.58
26,0.0,0.61,0.39,0.65,0.4,0.65
27,0.0,0.52,0.37,0.61,0.44,0.61
28,0.0,0.47,0.41,0.48,0.48,0.48
29,0.0,0.45,0.43,0.41,0.5,0.41
30,0.0,0.49,0.5,0.4,0.44,0.4
31,0.0,0.48,0.55,0.44,0.38,0.44
32,0.01,0.38,0.58,0.42,0.27,0.42
33,0.02,0.28,0.57,0.42,0.16,0.42
34,0.02,0.27,0.54,0.43,0.08,0.43
35,0.01,0.37,0.52,0.45,0.04,0.44
36,0.01,0.39,0.62,0.34,0.12,0.33
37,0.01,0.32,0.65,0.21,0.15,0.2
38,0.02,0.22,0.67,0.13,0.2,0.13
39,0.02,0.24,0.56,0.16,0.15,0.16
40,0.03,0.3,0.49,0.18,0.13,0.18
41,0.03,0.33,0.42,0.11,0.09,0.11
42,0.02,0.35,0.36,0.04,0.11,0.04
43,0.01,0.34,0.33,0.0,0.16,0.0
44,0.04,0.38,0.38,0.1,0.23,0.17
45,0.06,0.44,0.48,0.17,0.25,0.29
46,0.06,0.44,0.6,0.2,0.28,0.32
47,0.04,0.4,0.53,0.12,0.28,0.17
48,0.02,0.28,0.52,0.16,0.21,0.16
49,0.02,0.19,0.5,0.24,0.15,0.24
50,0.0,0.21,0.57,0.33,0.11,0.33
51,0.0,0.19,0.64,0.36,0.15,0.36
52,0.0,0.3,0.65,0.35,0.13,0.35
53,0.0,0.32,0.61,0.34,0.16,0.34
54,0.0,0.47,0.47,0.31,0.17,0.31
55,0.0,0.56,0.4,0.37,0.14,0.37
56,0.0,0.58,0.38,0.37,0.12,0.37
57,0.01,0.6,0.37,0.41,0.13,0.41
