phase,f1,f2,f3,f4,f5,f6,c1,c2,c3
instructional_video_0,0.3168,0.1908,0.2965,0.2915,0.1274,0.1058,0.0598,0.0119,0.0882
discussion_phase_0,0.2053,0.1813,0.1902,0.132,0.1523,0.0863,0.0597,0.0404,0.1416
discussion_phase_1,0.2547,0.1764,0.2014,0.0844,0.1016,0.0985,0.0642,0.042,0.1287
reschu_run_0,0.1559,0.1906,0.1051,0.2756,0.1329,0.1071,0.0821,0.0256,0.2057
reschu_run_2,0.1166,0.2364,0.1137,0.2603,0.1251,0.0691,0.079,0.0403,0.1839
reschu_run_3,0.0872,0.1845,0.1941,0.3888,0.1144,0.0965,0.0915,0.0174,0.219
reschu_run_4,0.0561,0.1515,0.1299,0.3158,0.1636,0.1118,0.0831,0.0053,0.2334
reschu_run_5,0.0664,0.2873,0.1931,0.4222,0.1266,0.1153,0.1012,0.004,0.2125
reschu_run_6,0.0813,0.2239,0.1841,0.3123,0.1332,0.1004,0.0813,0.0177,0.1972
reschu_run_7,0.0733,0.1954,0.1683,0.3338,0.1487,0.0897,0.0811,0.0052,0.2282
