frame,f1,f2,f3,f4,f5,f6
1,0.45,0.0,2.71,0.0,0.76,0.0
2,0.56,0.0,2.56,0.0,0.76,0.0
3,0.64,0.0,2.57,0.0,0.71,0.0
4,0.69,0.0,2.65,0.0,0.71,0.0
5,0.66,0.0,2.58,0.0,0.72,0.0
6,0.76,0.0,2.54,0.0,0.92,0.0
7,0.74,0.0,2.53,0.0,0.96,0.0
8,0.72,0.0,2.64,0.0,0.99,0.0
9,0.59,0.0,2.59,0.0,0.87,0.0
10,0.56,0.0,2.59,0.0,0.92,0.0
11,0.51,0.0,2.52,0.0,0.91,0.0
12,0.47,0.0,2.69,0.0,0.91,0.0
13,0.38,0.05,2.86,0.0,0.81,0.0
14,0.37,0.05,3.04,0.0,0.77,0.0
15,0.35,0.05,3.07,0.0,0.72,0.0
16,0.35,0.0,3.08,0.0,0.67,0.0
17,0.33,0.02,3.05,0.0,0.73,0.0
18,0.34,0.02,2.97,0.0,0.69,0.0
19,0.34,0.02,2.9,0.0,0.61,0.0
20,0.29,0.0,2.86,0.0,0.45,0.0
21,0.26,0.0,2.83,0.0,0.36,0.0
22,0.28,0.01,2.74,0.0,0.3,0.0
23,0.35,0.01,2.73,0.03,0.25,0.03
24,0.38,0.01,2.69,0.03,0.32,0.03
25,0.44,0.08,2.76,0.07,0.29,0.07
26,0.49,0.22,2.84,0.04,0.25,0.04
27,0.54,0.26,2.93,0.04,0.18,0.04
28,0.68,0.28,2.87,0.01,0.51,0.01
29,0.7,0.2,2.8,0.01,0.65,0.01
30,0.68,0.16,2.75,0.05,0.7,0.05
31,0.53,0.08,2.81,0.04,0.51,0.04
32,0.5,0.01,2.78,0.1,0.56,0.1
33,0.48,0.01,2.77,0.11,0.6,0.11
34,0.44,0.01,2.74,0.15,0.54,0.15
35,0.4,0.01,2.69,0.17,0.43,0.17
36,0.36,0.01,2.66,0.15,0.34,0.15
37,0.36,0.0,2.59,0.11,0.33,0.11
38,0.37,0.0,2.76,0.07,0.33,0.07
39,0.4,0.0,2.81,0.08,0.31,0.08
40,0.42,0.0,2.83,0.15,0.25,0.15
41,0.35,0.0,2.53,0.45,0.18,0.35
42,0.24,0.0,2.21,0.77,0.13,0.55
43,0.17,0.0,1.93,1.17,0.14,0.77
44,0.14,0.0,1.78,1.3,0.2,0.83
45,0.17,0.0,1.7,1.3,0.22,0.83
46,0.16,0.0,1.79,1.07,0.3,0.69
47,0.24,0.0,1.93,0.92,0.24,0.66
48,0.3,0.0,2.21,0.64,0.18,0.5
49,0.38,0.0,2.34,0.55,0.03,0.5
