zoom,phase,beeps,score,c1,c2,c3,compound,f2
True,instructional_video_0,,,0.0544,0.0882,0.0658,0.143,0.3255
True,discussion_phase_0,,,0.025,0.0029,0.0458,0.0705,0.2769
True,discussion_phase_1,,,0.0269,0.0185,0.0502,0.1027,0.2822
True,reschu_run_0,True,11,0.0596,0.0935,0.066,0.1472,0.3411
True,reschu_run_1,False,19,0.0384,0.111,0.0577,0.0913,0.3515
True,reschu_run_2,True,21,0.0543,0.1103,0.0767,0.1495,0.346
True,reschu_run_3,False,17,0.0601,0.0999,0.0731,0.1563,0.3506
True,reschu_run_4,True,20,0.0708,0.1008,0.0608,0.1481,0.3455
True,reschu_run_5,False,18,0.0411,0.0941,0.0953,0.0953,0.3492
True,reschu_run_6,True,25,0.0565,0.1086,0.0845,0.1522,0.3516
