frame,f1,f2,f3,f4,f5,f6
1,0.28,0.17,1.16,0.36,0.29,0.0
2,0.1,0.22,0.79,0.25,0.1,0.16
3,0.07,0.21,0.52,0.16,0.07,0.26
4,0.07,0.17,0.39,0.09,0.07,0.35
5,0.07,0.36,0.35,0.03,0.08,0.35
6,0.03,0.53,0.35,0.0,0.02,0.35
7,0.1,0.79,0.39,0.0,0.12,0.24
8,0.15,0.82,0.43,0.0,0.21,0.19
9,0.18,0.87,0.46,0.0,0.31,0.15
10,0.41,0.63,0.46,0.0,0.5,0.28
11,0.77,0.43,0.4,0.0,0.89,0.45
12,0.78,0.16,0.29,0.0,0.84,0.46
13,0.57,0.07,0.19,0.0,0.63,0.33
14,0.17,0.04,0.12,0.0,0.14,0.17
15,0.11,0.04,0.08,0.0,0.09,0.15
16,0.01,0.13,0.1,0.0,0.0,0.16
17,0.01,0.11,0.19,0.0,0.0,0.12
18,0.0,0.12,0.27,0.0,0.0,0.09
19,0.0,0.08,0.3,0.0,0.0,0.04
20,0.0,0.12,0.3,0.0,0.0,0.01
21,0.0,0.17,0.31,0.0,0.0,0.0
22,0.0,0.13,0.26,0.0,0.0,0.0
23,0.0,0.07,0.23,0.0,0.0,0.01
24,0.0,0.02,0.19,0.0,0.0,0.01
25,0.0,0.0,0.17,0.0,0.0,0.01
26,0.0,0.0,0.2,0.0,0.0,0.0
27,0.0,0.0,0.18,0.0,0.0,0.0
28,0.0,0.0,0.2,0.02,0.0,0.05
29,0.0,0.0,0.14,0.03,0.0,0.1
30,0.0,0.0,0.17,0.05,0.0,0.15
31,0.0,0.0,0.14,0.06,0.0,0.16
32,0.0,0.0,0.14,0.05,0.0,0.11
33,0.0,0.0,0.12,0.02,0.0,0.04
34,0.0,0.0,0.14,0.0,0.0,0.0
35,0.0,0.0,0.16,0.01,0.0,0.01
36,0.0,0.0,0.28,0.01,0.0,0.07
37,0.0,0.0,0.36,0.0,0.0,0.14
38,0.0,0.0,0.45,0.0,0.0,0.2
39,0.0,0.0,0.39,0.0,0.0,0.13
40,0.0,0.0,0.33,0.01,0.0,0.06
41,0.0,0.0,0.28,0.02,0.0,0.01
42,0.0,0.0,0.26,0.06,0.0,0.04
43,0.0,0.0,0.28,0.05,0.0,0.04
44,0.0,0.0,0.31,0.08,0.0,0.11
45,0.0,0.01,0.38,0.07,0.0,0.14
46,0.0,0.01,0.41,0.11,0.0,0.21
47,0.0,0.09,0.41,0.06,0.0,0.14
48,0.0,0.09,0.47,0.06,0.0,0.11
49,0.0,0.21,0.5,0.02,0.0,0.04
50,0.0,0.21,0.54,0.02,0.0,0.02
51,0.0,0.26,0.52,0.0,0.0,0.0
