,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,6083,6222.0,24923,25062.0,0
1,discussion_phase_0,46948,47087.0,55946,56085.0,0
2,reschu_run_0,57640,57779.0,66640,66779.0,0
3,reschu_run_1,73178,73317.0,82178,82317.0,0
4,reschu_run_2,85838,85977.0,94837,94976.0,0
5,reschu_run_3,98141,98280.0,107141,107280.0,0
6,discussion_phase_1,109431,109570.0,118432,118571.0,0
7,reschu_run_4,119808,119947.0,128807,128946.0,0
8,reschu_run_5,131862,132001.0,140860,140999.0,0
9,reschu_run_6,143815,143954.0,152815,152954.0,0
10,reschu_run_7,156596,156735.0,165595,165734.0,0
