,name,start_idx,start_frame,finish_idx,finish_frame,video_cnt
0,instructional_video_0,5308,5380.0,24148,24220.0,0
1,discussion_phase_0,51657,13555.0,58935,20833.0,1
2,reschu_run_0,60190,22088.0,69190,31088.0,1
3,reschu_run_1,88636,50534.0,97637,59535.0,1
4,reschu_run_2,101028,62926.0,110028,71926.0,1
5,discussion_phase_1,113183,75081.0,120344,82242.0,1
6,reschu_run_3,121222,83120.0,130222,92120.0,1
7,reschu_run_4,135618,97516.0,144618,106516.0,1
8,reschu_run_5,154078,1605.0,163078,10605.0,2
9,reschu_run_6,166151,13678.0,175151,22678.0,2
