frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.43, 0.44, 0.14, 0.35, -0.87, -0.92, 0.49, -0.57, -0.29, -0.40, 0.17, 0.47, 0.31, 0.54, 0.54, 0.51, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
2, 0, 0.033, 0.98, 1, 0.47, 0.09, 0.40, -0.14, -1.04, -0.98, 0.48, -0.44, -0.25, -0.47, -0.47, -0.04, -0.19, 0.22, 0.31, -0.23, 0.85, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
3, 0, 0.067, 0.98, 1, 0.59, 0.41, 0.35, -0.05, -1.05, -0.78, 0.48, -0.56, -0.18, -0.47, 0.02, 0.59, 0.07, 0.47, 0.49, 0.00, 0.56, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
4, 0, 0.100, 0.98, 1, 0.51, 0.43, 0.35, 0.16, -1.06, -0.70, 0.51, -0.48, -0.16, -0.38, -0.01, 0.69, 0.14, 0.37, 0.33, 0.02, 0.52, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
5, 0, 0.133, 0.98, 1, 0.39, 0.36, 0.34, 0.29, -0.99, -0.68, 0.50, -0.43, -0.17, -0.58, 0.08, 0.38, 0.13, 0.43, 0.42, 0.45, 0.66, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
6, 0, 0.167, 0.98, 1, 0.34, 0.33, 0.32, 0.41, -1.12, -1.22, 0.49, -0.36, -0.23, -0.39, 0.27, 0.54, 0.32, 0.54, 0.29, 0.52, 0.65, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
7, 0, 0.200, 0.98, 1, 0.36, 0.38, 0.28, 0.50, -1.07, -1.12, 0.50, -0.45, -0.17, -0.29, 0.10, 0.72, 0.28, 0.60, 0.42, 0.51, 0.58, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
8, 0, 0.233, 0.98, 1, 0.38, 0.44, 0.29, 0.48, -1.07, -0.98, 0.51, -0.56, -0.19, -0.33, 0.17, 0.69, 0.36, 0.68, 0.43, 0.40, 0.46, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
9, 0, 0.267, 0.98, 1, 0.33, 0.47, 0.21, 0.28, -0.97, -0.95, 0.49, -0.49, -0.08, -0.23, 0.06, 0.60, 0.44, 0.58, 0.28, 0.57, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
10, 0, 0.300, 0.98, 1, 0.22, 0.52, 0.28, -0.15, -0.97, -0.63, 0.40, -0.83, -0.01, -0.10, 0.33, 0.62, 0.45, 0.73, 0.19, 0.50, 0.72, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
11, 0, 0.333, 0.98, 1, 0.18, 0.34, 0.38, -0.22, -0.94, -0.60, 0.41, -0.76, 0.00, -0.11, 0.22, 0.74, 0.36, 0.73, 0.37, 0.62, 0.30, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
12, 0, 0.367, 0.98, 1, 0.27, 0.65, 0.51, -0.14, -0.80, -0.33, 0.47, -0.70, -0.02, 0.04, 0.09, 0.85, 0.35, 0.72, 0.26, 0.57, 0.40, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
13, 0, 0.400, 0.98, 1, 0.39, 0.58, 0.20, 0.04, -0.98, -0.67, 0.49, -0.82, -0.03, -0.14, 0.28, 0.52, 0.08, 0.53, 0.40, 0.60, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
