frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.20, 0.00, 0.00, 0.28, 0.00, 0.00, 1.08, 0.49, 0.11, 0.12, 0.00, 0.27, 1.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
2,  0,  0.017,  0.98,  1, 0.00, 0.00, 0.19, 0.00, 0.07, 0.83, 0.04, 0.02, 1.32, 0.60, 0.14, 0.07, 0.00, 0.09, 0.96, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.033,  0.98,  1, 0.03, 0.00, 0.18, 0.00, 0.18, 1.14, 0.06, 0.02, 1.46, 0.73, 0.14, 0.08, 0.00, 0.00, 0.93, 0.07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
4,  0,  0.050,  0.98,  1, 0.03, 0.00, 0.14, 0.00, 0.26, 1.26, 0.05, 0.00, 1.49, 0.78, 0.14, 0.12, 0.00, 0.00, 1.00, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
5,  0,  0.067,  0.98,  1, 0.03, 0.00, 0.09, 0.00, 0.32, 1.14, 0.04, 0.00, 1.49, 0.88, 0.13, 0.12, 0.00, 0.00, 1.05, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
6,  0,  0.083,  0.98,  1, 0.00, 0.00, 0.07, 0.00, 0.28, 1.00, 0.02, 0.00, 1.52, 0.83, 0.14, 0.07, 0.00, 0.00, 1.09, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
7,  0,  0.100,  0.98,  1, 0.00, 0.00, 0.12, 0.00, 0.26, 0.88, 0.01, 0.00, 1.53, 0.78, 0.16, 0.03, 0.00, 0.00, 1.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
8,  0,  0.117,  0.98,  1, 0.00, 0.00, 0.15, 0.00, 0.24, 0.80, 0.01, 0.00, 1.56, 0.82, 0.19, 0.00, 0.04, 0.00, 1.22, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
9,  0,  0.133,  0.98,  1, 0.00, 0.00, 0.14, 0.00, 0.25, 0.84, 0.01, 0.00, 1.58, 0.91, 0.23, 0.00, 0.09, 0.00, 1.26, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
10,  0,  0.150,  0.98,  1, 0.00, 0.00, 0.10, 0.00, 0.29, 0.94, 0.00, 0.00, 1.62, 0.99, 0.16, 0.06, 0.15, 0.00, 1.20, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
11,  0,  0.167,  0.98,  1, 0.00, 0.00, 0.08, 0.00, 0.33, 1.03, 0.00, 0.00, 1.63, 0.98, 0.11, 0.11, 0.17, 0.00, 1.11, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
12,  0,  0.183,  0.98,  1, 0.00, 0.00, 0.14, 0.01, 0.36, 0.89, 0.00, 0.00, 1.61, 1.02, 0.01, 0.11, 0.19, 0.00, 1.02, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13,  0,  0.200,  0.98,  1, 0.00, 0.00, 0.21, 0.03, 0.35, 0.73, 0.00, 0.00, 1.59, 1.11, 0.01, 0.05, 0.21, 0.00, 1.01, 0.17, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14,  0,  0.217,  0.98,  1, 0.00, 0.00, 0.28, 0.03, 0.35, 0.67, 0.00, 0.00, 1.55, 1.03, 0.00, 0.14, 0.15, 0.00, 0.94, 0.16, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15,  0,  0.233,  0.98,  1, 0.00, 0.00, 0.31, 0.02, 0.37, 0.85, 0.00, 0.00, 1.55, 0.95, 0.00, 0.20, 0.09, 0.00, 0.86, 0.10, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
16,  0,  0.250,  0.98,  1, 0.00, 0.00, 0.35, 0.00, 0.37, 1.03, 0.00, 0.00, 1.54, 0.87, 0.00, 0.26, 0.03, 0.00, 0.79, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
17,  0,  0.267,  0.98,  1, 0.00, 0.00, 0.39, 0.02, 0.37, 1.12, 0.00, 0.00, 1.56, 0.91, 0.01, 0.18, 0.03, 0.00, 0.81, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
18,  0,  0.283,  0.98,  1, 0.00, 0.00, 0.39, 0.04, 0.35, 1.14, 0.00, 0.00, 1.52, 0.94, 0.01, 0.15, 0.07, 0.00, 0.83, 0.00, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
19,  0,  0.300,  0.98,  1, 0.00, 0.00, 0.41, 0.03, 0.33, 1.11, 0.00, 0.00, 1.50, 0.98, 0.01, 0.12, 0.11, 0.00, 0.84, 0.00, 0.22, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
20,  0,  0.317,  0.98,  1, 0.01, 0.00, 0.40, 0.10, 0.29, 1.21, 0.00, 0.00, 1.45, 1.03, 0.00, 0.19, 0.11, 0.00, 0.75, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
21,  0,  0.333,  0.98,  1, 0.01, 0.00, 0.40, 0.15, 0.26, 1.29, 0.00, 0.00, 1.44, 1.09, 0.00, 0.30, 0.06, 0.00, 0.67, 0.00, 0.19, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.350,  0.98,  1, 0.01, 0.00, 0.40, 0.23, 0.23, 1.42, 0.00, 0.00, 1.41, 1.12, 0.00, 0.40, 0.01, 0.00, 0.58, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.367,  0.98,  1, 0.02, 0.00, 0.41, 0.23, 0.24, 1.41, 0.00, 0.00, 1.39, 1.15, 0.00, 0.42, 0.02, 0.00, 0.47, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.383,  0.98,  1, 0.02, 0.00, 0.32, 0.15, 0.25, 1.40, 0.00, 0.00, 1.41, 1.18, 0.00, 0.50, 0.04, 0.01, 0.42, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
25,  0,  0.400,  0.98,  1, 0.03, 0.00, 0.25, 0.07, 0.23, 1.23, 0.00, 0.00, 1.38, 1.18, 0.00, 0.51, 0.11, 0.01, 0.37, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
26,  0,  0.417,  0.98,  1, 0.01, 0.00, 0.14, 0.00, 0.17, 0.99, 0.00, 0.00, 1.40, 1.14, 0.00, 0.54, 0.23, 0.02, 0.40, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
27,  0,  0.433,  0.98,  1, 0.01, 0.00, 0.13, 0.00, 0.12, 0.84, 0.00, 0.00, 1.37, 1.07, 0.00, 0.53, 0.35, 0.01, 0.35, 0.00, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
28,  0,  0.450,  0.98,  1, 0.08, 0.00, 0.13, 0.00, 0.06, 0.78, 0.01, 0.00, 1.30, 0.92, 0.00, 0.59, 0.32, 0.07, 0.24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
29,  0,  0.467,  0.98,  1, 0.17, 0.00, 0.21, 0.00, 0.03, 0.81, 0.02, 0.00, 1.21, 0.81, 0.00, 0.60, 0.20, 0.10, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
30,  0,  0.483,  0.98,  1, 0.25, 0.00, 0.26, 0.00, 0.00, 0.84, 0.03, 0.00, 1.10, 0.72, 0.00, 0.62, 0.10, 0.15, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
31,  0,  0.500,  0.98,  1, 0.31, 0.00, 0.28, 0.00, 0.00, 0.98, 0.01, 0.00, 1.02, 0.70, 0.00, 0.66, 0.13, 0.14, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
32,  0,  0.517,  0.98,  1, 0.31, 0.00, 0.26, 0.00, 0.00, 1.12, 0.01, 0.00, 0.92, 0.66, 0.00, 0.71, 0.19, 0.14, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
33,  0,  0.533,  0.98,  1, 0.38, 0.00, 0.28, 0.00, 0.00, 1.18, 0.00, 0.00, 0.83, 0.64, 0.00, 0.79, 0.15, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
34,  0,  0.550,  0.98,  1, 0.40, 0.00, 0.27, 0.00, 0.00, 1.14, 0.00, 0.00, 0.82, 0.66, 0.00, 0.81, 0.09, 0.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
35,  0,  0.567,  0.98,  1, 0.56, 0.00, 0.30, 0.01, 0.00, 1.12, 0.00, 0.00, 0.80, 0.55, 0.00, 0.80, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
36,  0,  0.583,  0.98,  1, 0.56, 0.00, 0.28, 0.11, 0.00, 0.84, 0.00, 0.00, 0.80, 0.38, 0.00, 0.63, 0.00, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
37,  0,  0.600,  0.98,  1, 0.63, 0.00, 0.31, 0.23, 0.00, 0.69, 0.00, 0.00, 0.74, 0.28, 0.00, 0.50, 0.00, 0.07, 0.00, 0.00, 0.08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
38,  0,  0.617,  0.98,  1, 0.60, 0.00, 0.23, 0.24, 0.00, 0.54, 0.00, 0.00, 0.72, 0.49, 0.02, 0.43, 0.00, 0.06, 0.00, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
39,  0,  0.633,  0.98,  1, 0.64, 0.00, 0.20, 0.18, 0.00, 0.64, 0.00, 0.00, 0.71, 0.73, 0.05, 0.47, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
40,  0,  0.650,  0.98,  1, 0.74, 0.00, 0.17, 0.09, 0.00, 0.68, 0.00, 0.00, 0.75, 0.83, 0.05, 0.51, 0.00, 0.00, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
41,  0,  0.667,  0.98,  1, 0.84, 0.00, 0.20, 0.11, 0.00, 0.69, 0.00, 0.00, 0.78, 0.78, 0.03, 0.47, 0.00, 0.00, 0.00, 0.00, 0.47, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
42,  0,  0.683,  0.98,  1, 0.95, 0.00, 0.22, 0.07, 0.00, 0.76, 0.00, 0.00, 0.81, 0.75, 0.00, 0.45, 0.00, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
43,  0,  0.700,  0.98,  1, 0.84, 0.00, 0.25, 0.10, 0.00, 0.58, 0.00, 0.00, 0.77, 0.81, 0.02, 0.44, 0.05, 0.00, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
44,  0,  0.717,  0.98,  1, 0.74, 0.00, 0.29, 0.11, 0.00, 0.41, 0.00, 0.00, 0.72, 0.82, 0.02, 0.50, 0.07, 0.00, 0.00, 0.00, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
45,  0,  0.733,  0.98,  1, 0.44, 0.00, 0.26, 0.13, 0.00, 0.24, 0.00, 0.00, 0.71, 0.86, 0.02, 0.46, 0.10, 0.00, 0.00, 0.00, 0.72, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
46,  0,  0.750,  0.98,  1, 0.24, 0.00, 0.18, 0.09, 0.00, 0.23, 0.00, 0.00, 0.74, 0.87, 0.00, 0.40, 0.11, 0.00, 0.00, 0.00, 0.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
47,  0,  0.767,  0.98,  1, 0.03, 0.00, 0.14, 0.06, 0.00, 0.28, 0.00, 0.00, 0.78, 0.91, 0.00, 0.30, 0.11, 0.00, 0.00, 0.00, 0.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
48,  0,  0.783,  0.98,  1, 0.04, 0.00, 0.24, 0.04, 0.00, 0.29, 0.00, 0.00, 0.85, 0.95, 0.04, 0.24, 0.08, 0.00, 0.13, 0.00, 0.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
49,  0,  0.800,  0.98,  1, 0.04, 0.00, 0.37, 0.02, 0.00, 0.26, 0.00, 0.00, 0.93, 0.97, 0.11, 0.22, 0.02, 0.00, 0.25, 0.00, 0.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
50,  0,  0.817,  0.98,  1, 0.04, 0.00, 0.42, 0.06, 0.00, 0.42, 0.00, 0.00, 1.02, 1.01, 0.12, 0.13, 0.00, 0.00, 0.46, 0.11, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
51,  0,  0.833,  0.98,  1, 0.03, 0.00, 0.39, 0.06, 0.00, 0.60, 0.00, 0.00, 1.03, 1.01, 0.11, 0.11, 0.00, 0.00, 0.55, 0.21, 0.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
52,  0,  0.850,  0.98,  1, 0.00, 0.00, 0.33, 0.09, 0.00, 0.84, 0.00, 0.00, 1.02, 1.01, 0.07, 0.06, 0.00, 0.00, 0.66, 0.32, 0.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
53,  0,  0.867,  0.98,  1, 0.00, 0.00, 0.40, 0.04, 0.00, 0.82, 0.00, 0.00, 1.03, 1.00, 0.05, 0.12, 0.00, 0.00, 0.68, 0.39, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
54,  0,  0.883,  0.98,  1, 0.00, 0.00, 0.45, 0.04, 0.01, 0.76, 0.00, 0.00, 1.05, 0.96, 0.03, 0.19, 0.00, 0.00, 0.70, 0.44, 0.09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
55,  0,  0.900,  0.98,  1, 0.00, 0.00, 0.47, 0.00, 0.03, 0.68, 0.00, 0.00, 1.07, 0.92, 0.00, 0.24, 0.00, 0.00, 0.69, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
56,  0,  0.917,  0.98,  1, 0.00, 0.00, 0.37, 0.00, 0.04, 0.58, 0.00, 0.00, 1.07, 1.01, 0.03, 0.29, 0.00, 0.00, 0.62, 0.27, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
57,  0,  0.933,  0.98,  1, 0.00, 0.00, 0.26, 0.00, 0.06, 0.49, 0.00, 0.00, 1.14, 1.09, 0.03, 0.34, 0.00, 0.00, 0.52, 0.12, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
58,  0,  0.950,  0.98,  1, 0.00, 0.00, 0.21, 0.00, 0.08, 0.37, 0.00, 0.00, 1.20, 1.17, 0.04, 0.38, 0.00, 0.00, 0.44, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
59,  0,  0.967,  0.98,  1, 0.00, 0.00, 0.19, 0.00, 0.09, 0.29, 0.00, 0.00, 1.24, 1.15, 0.01, 0.38, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
60,  0,  0.983,  0.98,  1, 0.00, 0.00, 0.19, 0.00, 0.06, 0.29, 0.00, 0.00, 1.25, 1.06, 0.01, 0.37, 0.00, 0.00, 0.46, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
61,  0,  1.000,  0.98,  1, 0.00, 0.00, 0.16, 0.00, 0.03, 0.24, 0.00, 0.00, 1.27, 0.97, 0.00, 0.35, 0.01, 0.00, 0.50, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
62,  0,  1.017,  0.98,  1, 0.00, 0.00, 0.26, 0.00, 0.02, 0.32, 0.00, 0.00, 1.29, 0.97, 0.00, 0.22, 0.01, 0.00, 0.65, 0.01, 0.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
63,  0,  1.033,  0.98,  1, 0.02, 0.00, 0.38, 0.00, 0.03, 0.28, 0.00, 0.00, 1.32, 1.08, 0.00, 0.10, 0.01, 0.00, 0.72, 0.01, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
64,  0,  1.050,  0.98,  1, 0.03, 0.00, 0.51, 0.00, 0.02, 0.36, 0.00, 0.00, 1.32, 1.15, 0.00, 0.01, 0.00, 0.00, 0.82, 0.01, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
65,  0,  1.067,  0.98,  1, 0.03, 0.00, 0.53, 0.00, 0.04, 0.31, 0.00, 0.00, 1.33, 1.06, 0.00, 0.06, 0.00, 0.00, 0.77, 0.01, 0.02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00
