frame,frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
0.0,1.0,0.0,0.0,0.98,1.0,0.57,0.2,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.55,0.77,0.36,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,2.0,0.0,0.017,0.98,1.0,0.58,0.08,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.0,0.67,0.45,0.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,3.0,0.0,0.033,0.98,1.0,0.56,0.02,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.28,0.0,0.76,0.27,0.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.0,0.05,0.98,1.0,0.5,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.38,0.0,0.81,0.27,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5.0,0.0,0.067,0.98,1.0,0.49,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.36,0.0,0.81,0.24,0.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,0.0,0.083,0.98,1.0,0.55,0.16,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.39,0.0,0.64,0.25,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,7.0,0.0,0.1,0.98,1.0,0.61,0.23,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.39,0.0,0.58,0.26,0.38,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,8.0,0.0,0.117,0.98,1.0,0.57,0.23,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.34,0.0,0.56,0.27,0.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,9.0,0.0,0.133,0.98,1.0,0.4,0.06,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.17,0.0,0.72,0.3,0.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
