pair,phase,method,component_factor,radius,non_event_matches,condition,RR
05_06,discussion_phase_0,factor,f1,0.001,included,real,0.0012
05_06,discussion_phase_0,factor,f1,0.001,excluded,real,0.0012
05_06,discussion_phase_1,factor,f1,0.001,included,real,0.0017
05_06,discussion_phase_1,factor,f1,0.001,excluded,real,0.0017
05_06,reschu_run_0,factor,f1,0.001,included,real,0.0028
05_06,reschu_run_0,factor,f1,0.001,excluded,real,0.0019
05_06,reschu_run_1,factor,f1,0.001,included,real,0.0028
05_06,reschu_run_1,factor,f1,0.001,excluded,real,0.0021
05_06,reschu_run_2,factor,f1,0.001,included,real,0.0039
05_06,reschu_run_2,factor,f1,0.001,excluded,real,0.0023
05_06,reschu_run_3,factor,f1,0.001,included,real,0.0007
05_06,reschu_run_3,factor,f1,0.001,excluded,real,0.0007
05_06,reschu_run_4,factor,f1,0.001,included,real,0.0031
05_06,reschu_run_4,factor,f1,0.001,excluded,real,0.002
05_06,reschu_run_5,factor,f1,0.001,included,real,0.0003
05_06,reschu_run_5,factor,f1,0.001,excluded,real,0.0003
05_06,reschu_run_6,factor,f1,0.001,included,real,0.0
05_06,reschu_run_6,factor,f1,0.001,excluded,real,0.0
05_06,reschu_run_7,factor,f1,0.001,included,real,0.0024
05_06,reschu_run_7,factor,f1,0.001,excluded,real,0.0024
07_08,instructional_video_0,factor,f1,0.001,included,real,0.0021
07_08,instructional_video_0,factor,f1,0.001,excluded,real,0.002
07_08,discussion_phase_0,factor,f1,0.001,included,real,0.0013
07_08,discussion_phase_0,factor,f1,0.001,excluded,real,0.0013
07_08,discussion_phase_1,factor,f1,0.001,included,real,0.0052
07_08,discussion_phase_1,factor,f1,0.001,excluded,real,0.0017
07_08,reschu_run_0,factor,f1,0.001,included,real,0.0001
07_08,reschu_run_0,factor,f1,0.001,excluded,real,0.0001
07_08,reschu_run_1,factor,f1,0.001,included,real,0.0002
07_08,reschu_run_1,factor,f1,0.001,excluded,real,0.0002
07_08,reschu_run_2,factor,f1,0.001,included,real,0.0
07_08,reschu_run_2,factor,f1,0.001,excluded,real,0.0
07_08,reschu_run_3,factor,f1,0.001,included,real,0.0009
07_08,reschu_run_3,factor,f1,0.001,excluded,real,0.0003
07_08,reschu_run_4,factor,f1,0.001,included,real,0.0029
07_08,reschu_run_4,factor,f1,0.001,excluded,real,0.0006
07_08,reschu_run_5,factor,f1,0.001,included,real,0.0098
07_08,reschu_run_5,factor,f1,0.001,excluded,real,0.0015
07_08,reschu_run_6,factor,f1,0.001,included,real,0.0144
07_08,reschu_run_6,factor,f1,0.001,excluded,real,0.002
07_08,reschu_run_7,factor,f1,0.001,included,real,0.0195
07_08,reschu_run_7,factor,f1,0.001,excluded,real,0.0037
09_10,instructional_video_0,factor,f1,0.001,included,real,0.5361
09_10,instructional_video_0,factor,f1,0.001,excluded,real,0.0004
09_10,discussion_phase_0,factor,f1,0.001,included,real,0.1465
09_10,discussion_phase_0,factor,f1,0.001,excluded,real,0.0009
09_10,discussion_phase_1,factor,f1,0.001,included,real,0.0146
09_10,discussion_phase_1,factor,f1,0.001,excluded,real,0.0037
09_10,reschu_run_0,factor,f1,0.001,included,real,0.4692
09_10,reschu_run_0,factor,f1,0.001,excluded,real,0.0007
09_10,reschu_run_1,factor,f1,0.001,included,real,0.4206
09_10,reschu_run_1,factor,f1,0.001,excluded,real,0.0009
09_10,reschu_run_2,factor,f1,0.001,included,real,0.4499
09_10,reschu_run_2,factor,f1,0.001,excluded,real,0.0005
09_10,reschu_run_3,factor,f1,0.001,included,real,0.4068
09_10,reschu_run_3,factor,f1,0.001,excluded,real,0.001
09_10,reschu_run_4,factor,f1,0.001,included,real,0.6296
09_10,reschu_run_4,factor,f1,0.001,excluded,real,0.0001
09_10,reschu_run_5,factor,f1,0.001,included,real,0.363
09_10,reschu_run_5,factor,f1,0.001,excluded,real,0.0002
09_10,reschu_run_6,factor,f1,0.001,included,real,0.017
09_10,reschu_run_6,factor,f1,0.001,excluded,real,0.0
09_10,reschu_run_7,factor,f1,0.001,included,real,0.0133
09_10,reschu_run_7,factor,f1,0.001,excluded,real,0.0
99_100,instructional_video_0,factor,f1,0.001,included,real,0.0004
99_100,instructional_video_0,factor,f1,0.001,excluded,real,0.0004
99_100,discussion_phase_0,factor,f1,0.001,included,real,0.2011
99_100,discussion_phase_0,factor,f1,0.001,excluded,real,0.0006
99_100,reschu_run_0,factor,f1,0.001,included,real,0.0
99_100,reschu_run_0,factor,f1,0.001,excluded,real,0.0
99_100,reschu_run_1,factor,f1,0.001,included,real,0.3053
99_100,reschu_run_1,factor,f1,0.001,excluded,real,0.0012
99_100,reschu_run_2,factor,f1,0.001,included,real,0.2035
99_100,reschu_run_2,factor,f1,0.001,excluded,real,0.0013
99_100,reschu_run_3,factor,f1,0.001,included,real,0.3666
99_100,reschu_run_3,factor,f1,0.001,excluded,real,0.0012
101_102,instructional_video_0,factor,f1,0.001,included,real,0.0001
101_102,instructional_video_0,factor,f1,0.001,excluded,real,0.0001
101_102,discussion_phase_0,factor,f1,0.001,included,real,0.001
101_102,discussion_phase_0,factor,f1,0.001,excluded,real,0.001
101_102,discussion_phase_1,factor,f1,0.001,included,real,0.0018
101_102,discussion_phase_1,factor,f1,0.001,excluded,real,0.0012
101_102,reschu_run_0,factor,f1,0.001,included,real,0.0006
101_102,reschu_run_0,factor,f1,0.001,excluded,real,0.0006
101_102,reschu_run_1,factor,f1,0.001,included,real,0.0008
101_102,reschu_run_1,factor,f1,0.001,excluded,real,0.0008
101_102,reschu_run_2,factor,f1,0.001,included,real,0.0007
101_102,reschu_run_2,factor,f1,0.001,excluded,real,0.0007
101_102,reschu_run_3,factor,f1,0.001,included,real,0.0006
