pair,zoom,phase,beeps,score,c1,c2,c3,compound,f2
05_06,True,discussion_phase_0,,,0.0,0.0403,0.0019,0.1052,0.3256
05_06,True,discussion_phase_1,,,0.0,0.039,0.0001,0.1032,0.3019
05_06,True,reschu_run_0,True,4,0.0128,0.0259,0.0072,0.0558,0.3282
05_06,True,reschu_run_1,False,11,0.0052,0.0163,0.0008,0.0213,0.3379
05_06,True,reschu_run_2,True,23,0.0018,0.0228,0.0035,0.0292,0.3425
05_06,True,reschu_run_3,False,21,0.0045,0.0045,0.0,0.0085,0.3525
05_06,True,reschu_run_4,True,27,0.0148,0.0161,0.001,0.0133,0.3626
05_06,True,reschu_run_5,False,24,0.0244,0.013,0.0,0.0012,0.4039
05_06,True,reschu_run_6,True,21,0.0178,0.0007,0.0013,0.0065,0.5283
05_06,True,reschu_run_7,False,0,0.0142,0.0518,0.0041,0.0513,0.5656
07_08,False,instructional_video_0,,,0.0169,0.04,0.0413,0.0465,0.3152
07_08,False,discussion_phase_0,,,0.0303,0.011,0.0009,0.0888,0.0285
07_08,False,discussion_phase_1,,,0.0264,0.0445,0.0232,0.0859,0.2879
07_08,False,reschu_run_0,False,15,0.0246,0.0048,0.0028,0.0634,0.4291
07_08,False,reschu_run_1,True,14,0.0469,0.0068,0.005,0.0336,0.3782
07_08,False,reschu_run_2,False,19,0.0207,0.0024,0.0023,0.0222,0.3658
07_08,False,reschu_run_3,True,18,0.058,0.043,0.0518,0.1412,0.3625
07_08,False,reschu_run_4,False,31,0.0402,0.011,0.0167,0.0627,0.317
07_08,False,reschu_run_5,True,29,0.0442,0.039,0.0313,0.047,0.2698
07_08,False,reschu_run_6,False,29,0.0568,0.0384,0.0217,0.0398,0.4454
07_08,False,reschu_run_7,True,27,0.0602,0.0645,0.0416,0.0931,0.328
09_10,True,instructional_video_0,,,0.0185,0.054,0.027,0.1304,0.3351
09_10,True,discussion_phase_0,,,0.0323,0.0366,0.0308,0.0981,0.2892
09_10,True,discussion_phase_1,,,0.0256,0.0062,0.0395,0.0355,0.3014
09_10,True,reschu_run_0,True,10,0.081,0.0392,0.0955,0.2082,0.327
09_10,True,reschu_run_1,False,11,0.0639,0.0607,0.0791,0.2114,0.3229
09_10,True,reschu_run_2,True,11,0.0623,0.0384,0.0756,0.1841,0.3569
09_10,True,reschu_run_3,False,17,0.0753,0.0697,0.0766,0.2221,0.3338
09_10,True,reschu_run_4,True,14,0.067,0.0811,0.0802,0.2515,0.3386
09_10,True,reschu_run_5,False,24,0.0918,0.0663,0.0539,0.2754,0.2792
09_10,True,reschu_run_6,True,15,0.068,0.0251,0.0862,0.3131,0.5516
09_10,True,reschu_run_7,False,17,0.0794,0.0157,0.0739,0.3488,0.5612
99_100,False,instructional_video_0,,,0.0453,0.0059,0.0055,0.0915,0.0622
99_100,False,discussion_phase_0,,,0.0455,0.0187,0.0451,0.0928,0.3186
99_100,False,reschu_run_0,False,11,0.0006,0.0072,0.0034,0.1027,0.0176
99_100,False,reschu_run_1,True,14,0.1449,0.0075,0.0072,0.0154,0.3326
99_100,False,reschu_run_2,False,16,0.0729,0.0076,0.0111,0.0244,0.4264
99_100,False,reschu_run_3,True,19,0.0954,0.0006,0.009,0.0107,0.3906
101_102,True,instructional_video_0,,,0.091,0.0829,0.0466,0.2499,0.3768
101_102,True,discussion_phase_0,,,0.0387,0.0381,0.0285,0.0538,0.3155
101_102,True,discussion_phase_1,,,0.0312,0.0527,0.0366,0.0811,0.2833
101_102,True,reschu_run_0,True,11,0.0457,0.029,0.0522,0.178,0.369
101_102,True,reschu_run_1,False,15,0.0439,0.0055,0.0523,0.1314,0.3429
101_102,True,reschu_run_2,True,12,0.036,0.0179,0.0619,0.1066,0.3346
101_102,True,reschu_run_3,False,18,0.0407,0.0209,0.0568,0.1624,0.3608
101_102,True,reschu_run_4,True,10,0.0449,0.0036,0.0329,0.2079,0.3796
101_102,True,reschu_run_5,False,8,0.0777,0.0,0.0579,0.0533,0.6208
101_102,True,reschu_run_6,True,14,0.0597,0.0002,0.0548,0.0382,0.5761
103_104,False,instructional_video_0,,,0.0416,0.0577,0.0554,0.2441,0.3861
103_104,False,discussion_phase_0,,,0.0248,0.0431,0.0454,0.0848,0.3356
103_104,False,discussion_phase_1,,,0.0357,0.0299,0.0252,0.1169,0.0409
103_104,False,reschu_run_0,False,7,0.059,0.0549,0.0696,0.2102,0.3415
103_104,False,reschu_run_1,True,17,0.0959,0.0599,0.0826,0.3005,0.3515
103_104,False,reschu_run_2,False,18,0.0484,0.057,0.0591,0.1754,0.3499
103_104,False,reschu_run_3,True,19,0.0727,0.0731,0.0764,0.2923,0.3517
103_104,False,reschu_run_4,False,15,0.0489,0.0547,0.0711,0.1509,0.3365
103_104,False,reschu_run_5,True,14,0.0399,0.0539,0.0667,0.1416,0.3564
13_14,True,instructional_video_0,,,0.0914,0.071,0.0462,0.248,0.3362
13_14,True,discussion_phase_0,,,0.0289,0.0483,0.0411,0.1677,0.288
13_14,True,discussion_phase_1,,,0.0195,0.0343,0.0387,0.111,0.3025
13_14,True,reschu_run_0,True,5,0.0451,0.0645,0.055,0.2267,0.3357
13_14,True,reschu_run_1,False,8,0.0395,0.0782,0.0661,0.2756,0.3335
13_14,True,reschu_run_2,True,13,0.034,0.071,0.0637,0.2846,0.3382
13_14,True,reschu_run_3,False,8,0.0217,0.0418,0.0458,0.1711,0.32
13_14,True,reschu_run_4,True,21,0.0275,0.0656,0.0572,0.2871,0.3367
13_14,True,reschu_run_5,False,12,0.0369,0.0645,0.0571,0.2415,0.328
13_14,True,reschu_run_6,True,13,0.023,0.0373,0.053,0.1787,0.3299
13_14,True,reschu_run_7,False,17,0.0306,0.0388,0.0482,0.1571,0.3349
17_18,True,instructional_video_0,,,0.0282,0.0607,0.0526,0.1065,0.2593
17_18,True,discussion_phase_0,,,0.0353,0.0614,0.0498,0.0964,0.3684
17_18,True,reschu_run_0,True,15,0.0355,0.0468,0.037,0.1451,0.2977
17_18,True,reschu_run_1,False,20,0.0337,0.06,0.0515,0.1162,0.3259
17_18,True,reschu_run_2,True,17,0.0861,0.1102,0.078,0.1523,0.3402
19_20,False,instructional_video_0,,,0.0595,0.0328,0.0566,0.2185,0.3538
19_20,False,discussion_phase_1,,,0.0422,0.0898,0.053,0.1328,0.33
