pair,phase,method,component_factor,radius,non_event_matches,condition,RR
05_06,discussion_phase_0,factor,f1,0.1,included,real,0.0251999761158124
05_06,discussion_phase_0,factor,f1,0.1,excluded,real,0.0251999761158124
05_06,discussion_phase_1,factor,f1,0.1,included,real,0.0333206442687395
05_06,discussion_phase_1,factor,f1,0.1,excluded,real,0.0333184224480908
05_06,reschu_run_0,factor,f1,0.1,included,real,0.0448428410583599
05_06,reschu_run_0,factor,f1,0.1,excluded,real,0.0389378870332144
05_06,reschu_run_1,factor,f1,0.1,included,real,0.0467165455562812
05_06,reschu_run_1,factor,f1,0.1,excluded,real,0.0413077488813742
05_06,reschu_run_2,factor,f1,0.1,included,real,0.0527429197220387
05_06,reschu_run_2,factor,f1,0.1,excluded,real,0.0467013271463812
05_06,reschu_run_3,factor,f1,0.1,included,real,0.014140189090854
05_06,reschu_run_3,factor,f1,0.1,excluded,real,0.0140555201322917
05_06,reschu_run_4,factor,f1,0.1,included,real,0.0489651466617725
05_06,reschu_run_4,factor,f1,0.1,excluded,real,0.0389727905185902
05_06,reschu_run_5,factor,f1,0.1,included,real,0.0061620327830811
05_06,reschu_run_5,factor,f1,0.1,excluded,real,0.0061620327830811
05_06,reschu_run_6,factor,f1,0.1,included,real,0.0003653896897415
05_06,reschu_run_6,factor,f1,0.1,excluded,real,0.0003653896897415
05_06,reschu_run_7,factor,f1,0.1,included,real,0.0406345148691614
05_06,reschu_run_7,factor,f1,0.1,excluded,real,0.0406345148691614
07_08,instructional_video_0,factor,f1,0.1,included,real,0.040329375170256
07_08,instructional_video_0,factor,f1,0.1,excluded,real,0.0401186412356865
07_08,discussion_phase_0,factor,f1,0.1,included,real,0.0264984716916895
07_08,discussion_phase_0,factor,f1,0.1,excluded,real,0.0264909891540617
07_08,discussion_phase_1,factor,f1,0.1,included,real,0.0433722785663426
07_08,discussion_phase_1,factor,f1,0.1,excluded,real,0.0341044950883117
07_08,reschu_run_0,factor,f1,0.1,included,real,0.0016906666666666
07_08,reschu_run_0,factor,f1,0.1,excluded,real,0.0012768888888888
07_08,reschu_run_1,factor,f1,0.1,included,real,0.0048995555555555
07_08,reschu_run_1,factor,f1,0.1,excluded,real,0.0041328888888888
07_08,reschu_run_2,factor,f1,0.1,included,real,0.0002
07_08,reschu_run_2,factor,f1,0.1,excluded,real,0.0002
07_08,reschu_run_3,factor,f1,0.1,included,real,0.0116884444444444
07_08,reschu_run_3,factor,f1,0.1,excluded,real,0.0059177777777777
07_08,reschu_run_4,factor,f1,0.1,included,real,0.0187355555555555
07_08,reschu_run_4,factor,f1,0.1,excluded,real,0.0113555555555555
07_08,reschu_run_5,factor,f1,0.1,included,real,0.0652951111111111
07_08,reschu_run_5,factor,f1,0.1,excluded,real,0.0277875555555555
07_08,reschu_run_6,factor,f1,0.1,included,real,0.0923026666666666
07_08,reschu_run_6,factor,f1,0.1,excluded,real,0.0339911111111111
07_08,reschu_run_7,factor,f1,0.1,included,real,0.1556626666666666
07_08,reschu_run_7,factor,f1,0.1,excluded,real,0.065764
09_10,instructional_video_0,factor,f1,0.1,included,real,0.7169735744636357
09_10,instructional_video_0,factor,f1,0.1,excluded,real,0.0066819261438929
09_10,discussion_phase_0,factor,f1,0.1,included,real,0.2607295857988165
09_10,discussion_phase_0,factor,f1,0.1,excluded,real,0.0166497041420118
09_10,discussion_phase_1,factor,f1,0.1,included,real,0.1166525681410573
