pair,phase,method,component_factor,radius,non_event_matches,condition,RR
05_06,discussion_phase_0,factor,f1,0.1,included,real,0.02519997611581241
05_06,discussion_phase_0,factor,f1,0.1,excluded,real,0.02519997611581241
05_06,discussion_phase_1,factor,f1,0.1,included,real,0.033320644268739576
05_06,discussion_phase_1,factor,f1,0.1,excluded,real,0.03331842244809086
05_06,reschu_run_0,factor,f1,0.1,included,real,0.044842841058359915
05_06,reschu_run_0,factor,f1,0.1,excluded,real,0.038937887033214484
05_06,reschu_run_1,factor,f1,0.1,included,real,0.04671654555628124
05_06,reschu_run_1,factor,f1,0.1,excluded,real,0.0413077488813742
05_06,reschu_run_2,factor,f1,0.1,included,real,0.05274291972203876
05_06,reschu_run_2,factor,f1,0.1,excluded,real,0.046701327146381255
05_06,reschu_run_3,factor,f1,0.1,included,real,0.01414018909085405
05_06,reschu_run_3,factor,f1,0.1,excluded,real,0.0140555201322917
05_06,reschu_run_4,factor,f1,0.1,included,real,0.04896514666177258
05_06,reschu_run_4,factor,f1,0.1,excluded,real,0.038972790518590275
05_06,reschu_run_5,factor,f1,0.1,included,real,0.0061620327830811
05_06,reschu_run_5,factor,f1,0.1,excluded,real,0.0061620327830811
05_06,reschu_run_6,factor,f1,0.1,included,real,0.0003653896897415792
05_06,reschu_run_6,factor,f1,0.1,excluded,real,0.0003653896897415792
05_06,reschu_run_7,factor,f1,0.1,included,real,0.04063451486916148
05_06,reschu_run_7,factor,f1,0.1,excluded,real,0.04063451486916148
07_08,instructional_video_0,factor,f1,0.1,included,real,0.04032937517025602
07_08,instructional_video_0,factor,f1,0.1,excluded,real,0.04011864123568657
07_08,discussion_phase_0,factor,f1,0.1,included,real,0.02649847169168952
07_08,discussion_phase_0,factor,f1,0.1,excluded,real,0.026490989154061707
07_08,discussion_phase_1,factor,f1,0.1,included,real,0.04337227856634263
07_08,discussion_phase_1,factor,f1,0.1,excluded,real,0.03410449508831179
07_08,reschu_run_0,factor,f1,0.1,included,real,0.0016906666666666667
07_08,reschu_run_0,factor,f1,0.1,excluded,real,0.0012768888888888888
07_08,reschu_run_1,factor,f1,0.1,included,real,0.0048995555555555554
07_08,reschu_run_1,factor,f1,0.1,excluded,real,0.004132888888888889
07_08,reschu_run_2,factor,f1,0.1,included,real,0.0002
07_08,reschu_run_2,factor,f1,0.1,excluded,real,0.0002
07_08,reschu_run_3,factor,f1,0.1,included,real,0.011688444444444444
07_08,reschu_run_3,factor,f1,0.1,excluded,real,0.005917777777777778
07_08,reschu_run_4,factor,f1,0.1,included,real,0.018735555555555554
07_08,reschu_run_4,factor,f1,0.1,excluded,real,0.011355555555555556
07_08,reschu_run_5,factor,f1,0.1,included,real,0.06529511111111111
07_08,reschu_run_5,factor,f1,0.1,excluded,real,0.027787555555555555
07_08,reschu_run_6,factor,f1,0.1,included,real,0.09230266666666667
07_08,reschu_run_6,factor,f1,0.1,excluded,real,0.03399111111111111
07_08,reschu_run_7,factor,f1,0.1,included,real,0.15566266666666667
07_08,reschu_run_7,factor,f1,0.1,excluded,real,0.065764
09_10,instructional_video_0,factor,f1,0.1,included,real,0.7169735744636357
09_10,instructional_video_0,factor,f1,0.1,excluded,real,0.006681926143892984
09_10,discussion_phase_0,factor,f1,0.1,included,real,0.26072958579881655
09_10,discussion_phase_0,factor,f1,0.1,excluded,real,0.016649704142011834
09_10,discussion_phase_1,factor,f1,0.1,included,real,0.11665256814105739
09_10,discussion_phase_1,factor,f1,0.1,excluded,real,0.07004480418307119
09_10,reschu_run_0,factor,f1,0.1,included,real,0.6379354163446754
09_10,reschu_run_0,factor,f1,0.1,excluded,real,0.01126237327246309
09_10,reschu_run_1,factor,f1,0.1,included,real,0.5803391865667049
09_10,reschu_run_1,factor,f1,0.1,excluded,real,0.015009294487995149
09_10,reschu_run_2,factor,f1,0.1,included,real,0.6175703116081828
09_10,reschu_run_2,factor,f1,0.1,excluded,real,0.008802539208576697
09_10,reschu_run_3,factor,f1,0.1,included,real,0.5704827197595793
09_10,reschu_run_3,factor,f1,0.1,excluded,real,0.017116127465488847
09_10,reschu_run_4,factor,f1,0.1,included,real,0.7807898724779765
09_10,reschu_run_4,factor,f1,0.1,excluded,real,0.0020924710141889506
09_10,reschu_run_5,factor,f1,0.1,included,real,0.6833097777777778
09_10,reschu_run_5,factor,f1,0.1,excluded,real,0.0036546666666666667
09_10,reschu_run_6,factor,f1,0.1,included,real,0.7665146666666667
09_10,reschu_run_6,factor,f1,0.1,excluded,real,0.0
09_10,reschu_run_7,factor,f1,0.1,included,real,0.867392
09_10,reschu_run_7,factor,f1,0.1,excluded,real,0.0
103_104,instructional_video_0,factor,f1,0.1,included,real,0.11535237230719299
103_104,instructional_video_0,factor,f1,0.1,excluded,real,0.11323808775203863
103_104,discussion_phase_0,factor,f1,0.1,included,real,0.032334663961011346
103_104,discussion_phase_0,factor,f1,0.1,excluded,real,0.03211329418353411
103_104,discussion_phase_1,factor,f1,0.1,included,real,0.041093612475392546
103_104,discussion_phase_1,factor,f1,0.1,excluded,real,0.038419029387336996
103_104,reschu_run_0,factor,f1,0.1,included,real,0.08758971674563967
103_104,reschu_run_0,factor,f1,0.1,excluded,real,0.06880085959519017
103_104,reschu_run_1,factor,f1,0.1,included,real,0.18128351967800638
103_104,reschu_run_1,factor,f1,0.1,excluded,real,0.1505783709041518
103_104,reschu_run_2,factor,f1,0.1,included,real,0.09022336110480753
103_104,reschu_run_2,factor,f1,0.1,excluded,real,0.06735000363019751
103_104,reschu_run_3,factor,f1,0.1,included,real,0.18503633699840594
103_104,reschu_run_3,factor,f1,0.1,excluded,real,0.059462968705473795
103_104,reschu_run_4,factor,f1,0.1,included,real,0.05540974392089723
103_104,reschu_run_4,factor,f1,0.1,excluded,real,0.04328424864964457
103_104,reschu_run_5,factor,f1,0.1,included,real,0.0818006357793378
103_104,reschu_run_5,factor,f1,0.1,excluded,real,0.07751811457437019
27_28,instructional_video_0,factor,f1,0.1,included,real,0.19993478437259118
27_28,instructional_video_0,factor,f1,0.1,excluded,real,0.19840358635238753
27_28,discussion_phase_0,factor,f1,0.1,included,real,0.04327363598500625
27_28,discussion_phase_0,factor,f1,0.1,excluded,real,0.04327363598500625
27_28,discussion_phase_1,factor,f1,0.1,included,real,0.03871838554308274
27_28,discussion_phase_1,factor,f1,0.1,excluded,real,0.03871838554308274
27_28,reschu_run_0,factor,f1,0.1,included,real,0.1318968888888889
27_28,reschu_run_0,factor,f1,0.1,excluded,real,0.12607333333333334
27_28,reschu_run_1,factor,f1,0.1,included,real,0.09968577777777778
27_28,reschu_run_1,factor,f1,0.1,excluded,real,0.096004
27_28,reschu_run_2,factor,f1,0.1,included,real,0.11396266666666667
27_28,reschu_run_2,factor,f1,0.1,excluded,real,0.1124248888888889
27_28,reschu_run_3,factor,f1,0.1,included,real,0.1478288888888889
27_28,reschu_run_3,factor,f1,0.1,excluded,real,0.14152666666666666
27_28,reschu_run_4,factor,f1,0.1,included,real,0.1454368888888889
27_28,reschu_run_4,factor,f1,0.1,excluded,real,0.14319955555555555
