pair,zoom,phase,beeps,score,f1,f2,f3,f4,f5,f6
05_06,True,discussion_phase_0,,,0.019,0.3256,0.0416,0.0286,0.0001,0.0335
05_06,True,reschu_run_0,True,4,0.0338,0.3282,0.0547,0.0587,0.0023,0.0424
05_06,True,reschu_run_1,False,11,0.0352,0.3379,0.0555,0.0616,0.0006,0.0438
05_06,True,reschu_run_2,True,23,0.0388,0.3425,0.0515,0.052,0.0016,0.036
05_06,True,reschu_run_3,False,21,0.0103,0.3525,0.0589,0.0563,0.0,0.0356
05_06,True,discussion_phase_1,,,0.0249,0.3019,0.0394,0.0281,0.0,0.0311
05_06,True,reschu_run_4,True,27,0.0376,0.3626,0.0604,0.0788,0.0009,0.0451
05_06,True,reschu_run_5,False,24,0.0044,0.4039,0.0414,0.1052,0.0,0.0677
05_06,True,reschu_run_6,True,21,0.0002,0.5283,0.0402,0.132,0.0007,0.1226
05_06,True,reschu_run_7,False,0,0.0316,0.5656,0.0693,0.0344,0.0027,0.0306
07_08,False,instructional_video_0,,,0.0306,0.3152,0.0306,0.037,0.0541,0.0166
07_08,False,discussion_phase_0,,,0.0202,0.0285,0.0202,0.021,0.0096,0.0179
07_08,False,reschu_run_0,False,15,0.0013,0.4291,0.0657,0.0663,0.0005,0.0285
07_08,False,reschu_run_1,True,14,0.0037,0.3782,0.0573,0.0816,0.0019,0.0351
07_08,False,reschu_run_2,False,19,0.0001,0.3658,0.0578,0.0522,0.0,0.0259
07_08,False,reschu_run_3,True,18,0.0093,0.3625,0.0581,0.0308,0.0019,0.0105
07_08,False,discussion_phase_1,,,0.0343,0.2879,0.0405,0.0407,0.0415,0.0276
07_08,False,reschu_run_4,False,31,0.0147,0.317,0.0703,0.0713,0.0055,0.0347
07_08,False,reschu_run_5,True,29,0.0533,0.2698,0.0616,0.0547,0.0161,0.0267
07_08,False,reschu_run_6,False,29,0.0752,0.4454,0.0624,0.0639,0.0271,0.0236
07_08,False,reschu_run_7,True,27,0.1239,0.328,0.0501,0.0583,0.0284,0.0201
09_10,True,instructional_video_0,,,0.6971,0.3351,0.0552,0.0279,0.1969,0.018
09_10,True,discussion_phase_0,,,0.2421,0.2892,0.0328,0.021,0.1509,0.0163
09_10,True,reschu_run_0,True,10,0.611,0.327,0.0552,0.0466,0.0233,0.0246
09_10,True,reschu_run_1,False,11,0.5537,0.3229,0.0404,0.042,0.0937,0.0205
09_10,True,reschu_run_2,True,11,0.5921,0.3569,0.0522,0.0353,0.098,0.0215
09_10,True,reschu_run_3,False,17,0.5443,0.3338,0.0408,0.0405,0.0762,0.0207
09_10,True,discussion_phase_1,,,0.0917,0.3014,0.0329,0.015,0.2076,0.0155
09_10,True,reschu_run_4,True,14,0.7674,0.3386,0.0526,0.038,0.0929,0.0187
09_10,True,reschu_run_5,False,24,0.6653,0.2792,0.0534,0.039,0.0977,0.0228
09_10,True,reschu_run_6,True,15,0.7511,0.5516,0.0505,0.0831,0.1081,0.0592
09_10,True,reschu_run_7,False,17,0.8548,0.5612,0.1059,0.0662,0.1151,0.0354
99_100,False,instructional_video_0,,,0.0096,0.0622,0.0204,0.0264,0.0466,0.0099
99_100,False,discussion_phase_0,,,0.3411,0.3186,0.039,0.0755,0.0492,0.0182
99_100,False,reschu_run_0,False,11,0.0,0.0176,0.0285,0.0415,0.0617,0.0268
99_100,False,reschu_run_1,True,14,0.5205,0.3326,0.0551,0.1176,0.0003,0.057
99_100,False,reschu_run_2,False,16,0.4677,0.4264,0.0559,0.0978,0.0083,0.0542
99_100,False,reschu_run_3,True,19,0.5467,0.3906,0.0497,0.0827,0.0001,0.0454
101_102,True,instructional_video_0,,,0.0016,0.3768,0.0818,0.0169,0.0014,0.0578
101_102,True,discussion_phase_0,,,0.0143,0.3155,0.0392,0.0342,0.0244,0.0146
101_102,True,reschu_run_0,True,11,0.0084,0.369,0.037,0.0211,0.0074,0.0236
101_102,True,reschu_run_1,False,15,0.0116,0.3429,0.0364,0.015,0.0048,0.022
101_102,True,reschu_run_2,True,12,0.0112,0.3346,0.0413,0.0188,0.0063,0.0196
101_102,True,reschu_run_3,False,18,0.0086,0.3608,0.0392,0.016,0.0052,0.0258
101_102,True,discussion_phase_1,,,0.0195,0.2833,0.037,0.0381,0.029,0.0183
