method,component_factor,condition,non_event_matches,0.1,0.2,0.3,0.4,0.5
corrca,c1,fake,excluded,0.084,0.154,0.226,0.29,0.345
corrca,c1,fake,included,0.131,0.262,0.383,0.492,0.586
corrca,c1,real,excluded,0.112,0.204,0.288,0.36,0.421
corrca,c1,real,included,0.17,0.328,0.472,0.598,0.703
corrca,c2,fake,excluded,0.082,0.142,0.205,0.27,0.328
corrca,c2,fake,included,0.145,0.28,0.394,0.489,0.574
corrca,c2,real,excluded,0.123,0.22,0.308,0.389,0.458
corrca,c2,real,included,0.208,0.395,0.535,0.647,0.74
corrca,c3,fake,excluded,0.066,0.116,0.167,0.221,0.276
corrca,c3,fake,included,0.121,0.236,0.338,0.428,0.508
corrca,c3,real,excluded,0.092,0.169,0.245,0.313,0.37
corrca,c3,real,included,0.151,0.296,0.427,0.538,0.627
factor,f1,fake,excluded,0.046,0.088,0.126,0.162,0.194
factor,f1,fake,included,0.131,0.211,0.282,0.35,0.41
factor,f1,real,excluded,0.047,0.09,0.128,0.163,0.194
factor,f1,real,included,0.165,0.237,0.299,0.358,0.41
factor,f2,fake,excluded,0.05,0.087,0.113,0.135,0.15
factor,f2,fake,included,0.368,0.521,0.629,0.71,0.771
factor,f2,real,excluded,0.047,0.082,0.107,0.126,0.141
factor,f2,real,included,0.387,0.54,0.647,0.729,0.788
factor,f3,fake,excluded,0.078,0.149,0.214,0.275,0.328
factor,f3,fake,included,0.096,0.183,0.264,0.342,0.41
factor,f3,real,excluded,0.079,0.151,0.215,0.275,0.327
factor,f3,real,included,0.1,0.191,0.273,0.352,0.42
factor,f4,fake,excluded,0.079,0.152,0.217,0.279,0.333
factor,f4,fake,included,0.1,0.189,0.27,0.347,0.415
factor,f4,real,excluded,0.074,0.143,0.206,0.266,0.319
factor,f4,real,included,0.096,0.182,0.262,0.34,0.408
factor,f5,fake,excluded,0.021,0.042,0.062,0.082,0.102
factor,f5,fake,included,0.068,0.104,0.137,0.171,0.203
factor,f5,real,excluded,0.021,0.042,0.061,0.08,0.098
factor,f5,real,included,0.054,0.09,0.122,0.155,0.186
factor,f6,fake,excluded,0.105,0.199,0.28,0.353,0.413
factor,f6,fake,included,0.128,0.244,0.346,0.441,0.519
factor,f6,real,excluded,0.097,0.185,0.262,0.332,0.39
factor,f6,real,included,0.123,0.234,0.334,0.427,0.505
